CampID,Day,Time
5048,2,2020-07-20 05:59:34pm
5048,2,2020-07-20 05:59:50pm
3324,2,2020-07-20 06:00:03pm
3522,1,2020-07-20 06:00:15pm
3522,2,2020-07-20 06:00:49pm
2111,2,2020-07-20 06:02:28pm
2111,3,2020-07-20 06:02:37pm
2111,2,2020-07-20 06:02:44pm
2013,1,2020-07-20 06:03:10pm
3317,2,2020-07-20 06:03:15pm
2013,2,2020-07-20 06:03:24pm
3377,2,2020-07-20 06:03:30pm
3058,1,2020-07-20 06:04:14pm
2202,1,2020-07-20 06:04:45pm
5032,1,2020-07-20 06:05:05pm
2558,1,2020-07-20 06:05:07pm
2558,1,2020-07-20 06:05:08pm
9006,2,2020-07-20 06:05:11pm
5104,1,2020-07-20 06:05:26pm
2695,2,2020-07-20 06:05:32pm
5032,2,2020-07-20 06:05:35pm
2220,1,2020-07-20 06:05:37pm
2202,1,2020-07-20 06:05:44pm
2481,2,2020-07-20 06:05:49pm
2220,2,2020-07-20 06:05:51pm
5032,2,2020-07-20 06:06:04pm
9006,3,2020-07-20 06:06:07pm
3377,2,2020-07-20 06:06:10pm
9006,3,2020-07-20 06:06:14pm
2831,2,2020-07-20 06:06:58pm
3254,1,2020-07-20 06:07:06pm
2311,2,2020-07-20 06:08:07pm
3137,1,2020-07-20 06:08:50pm
3137,2,2020-07-20 06:09:10pm
2831,3,2020-07-20 06:09:32pm
5103,2,2020-07-20 06:09:46pm
2692,2,2020-07-20 06:09:59pm
9006,2,2020-07-20 06:10:07pm
2831,3,2020-07-20 06:10:23pm
2222,1,2020-07-20 06:10:53pm
1987,2,2020-07-20 06:11:30pm
1987,3,2020-07-20 06:11:40pm
1987,2,2020-07-20 06:11:51pm
1987,2,2020-07-20 06:11:54pm
2655,2,2020-07-20 06:12:28pm
2655,2,2020-07-20 06:12:39pm
2481,2,2020-07-20 06:13:18pm
2481,2,2020-07-20 06:13:34pm
2481,2,2020-07-20 06:13:39pm
3359,2,2020-07-20 06:13:44pm
2481,2,2020-07-20 06:13:46pm
3359,2,2020-07-20 06:13:49pm
2481,2,2020-07-20 06:14:03pm
3359,2,2020-07-20 06:14:03pm
2462,2,2020-07-20 06:14:17pm
2489,2,2020-07-20 06:14:44pm
2231,2,2020-07-20 06:14:46pm
2462,2,2020-07-20 06:14:50pm
5112,2,2020-07-20 06:15:08pm
2055,2,2020-07-20 06:15:18pm
2409,1,2020-07-20 06:15:36pm
5087,2,2020-07-20 06:16:05pm
2200,2,2020-07-20 06:16:39pm
2787,1,2020-07-20 06:16:49pm
2207,1,2020-07-20 06:16:52pm
2170,2,2020-07-20 06:17:08pm
2207,2,2020-07-20 06:17:08pm
9002,2,2020-07-20 06:17:32pm
3342,2,2020-07-20 06:17:33pm
9002,2,2020-07-20 06:17:37pm
2207,2,2020-07-20 06:17:44pm
2207,2,2020-07-20 06:17:49pm
2141,2,2020-07-20 06:18:40pm
2904,1,2020-07-20 06:19:08pm
2904,1,2020-07-20 06:19:16pm
2904,1,2020-07-20 06:19:17pm
2220,3,2020-07-20 06:19:22pm
2220,2,2020-07-20 06:19:29pm
2541,2,2020-07-20 06:19:31pm
1992,2,2020-07-20 06:19:49pm
2452,1,2020-07-20 06:19:56pm
2452,2,2020-07-20 06:20:02pm
2904,2,2020-07-20 06:20:43pm
5029,1,2020-07-20 06:21:04pm
5029,2,2020-07-20 06:21:16pm
3159,1,2020-07-20 06:22:01pm
3159,1,2020-07-20 06:22:04pm
2219,2,2020-07-20 06:22:21pm
2219,2,2020-07-20 06:22:31pm
5108,2,2020-07-20 06:22:45pm
5108,2,2020-07-20 06:22:55pm
1998,2,2020-07-20 06:23:11pm
2196,1,2020-07-20 06:24:52pm
2196,1,2020-07-20 06:24:57pm
2196,1,2020-07-20 06:25:07pm
2196,1,2020-07-20 06:25:14pm
2196,1,2020-07-20 06:25:17pm
9056,2,2020-07-20 06:25:29pm
3603,2,2020-07-20 06:25:40pm
736,2,2020-07-20 06:26:41pm
3413,1,2020-07-20 06:26:44pm
3109,2,2020-07-20 06:27:17pm
2641,2,2020-07-20 06:27:46pm
2541,2,2020-07-20 06:28:14pm
2371,2,2020-07-20 06:28:21pm
3109,10,2020-07-20 06:28:56pm
3109,2,2020-07-20 06:29:08pm
5020,2,2020-07-20 06:29:11pm
2437,2,2020-07-20 06:29:20pm
3297,2,2020-07-20 06:29:21pm
3153,1,2020-07-20 06:31:41pm
3153,2,2020-07-20 06:31:46pm
3338,3,2020-07-20 06:31:58pm
2292,2,2020-07-20 06:31:58pm
